T_K,rho_kg_m3,h_J_kg,cp_J_kgK
300.0,0.16227670349312745,156099.1162298976,520.330387432992
500.0,0.09736602210921372,260165.193716496,520.3303874329919
700.0,0.06954715863882185,364231.27120309434,520.330387432992
900.0,0.05409223449684449,468297.3486896928,520.3303874329921
1100.0,0.04425728277014521,572363.4261762912,520.330387432992
1300.0,0.03744847017748193,676429.5036628896,520.330387432992
1500.0,0.03245534073479228,780495.581149488,520.330387432992
1700.0,0.028637065333225156,884561.6586360864,520.330387432992
1900.0,0.025622637397273863,988627.7361226848,520.3303874329931
2100.0,0.023182386214525282,1092693.8136092837,520.3303874330397
2300.0,0.02116652654292922,1196759.8910959007,520.3303874342778
2500.0,0.019473204419181208,1300825.9685829948,520.3303874544036
2700.0,0.018030744832433686,1404892.0460776621,520.330387676147
2900.0,0.016787245188715393,1508958.1236534535,520.3303894581425
3100.0,0.01570419711170763,1613024.2018609191,520.3304005038838
3300.0,0.014752427588102515,1717090.283855007,520.3304556573514
3500.0,0.013909431717994778,1821156.3841238597,520.3306852442538
3700.0,0.013157570512445328,1925222.5579527086,520.3315042325074
3900.0,0.012482823197958038,2029288.9858168627,520.3340644689347
4100.0,0.011873904663412704,2133356.1837402824,520.3412082779239
4300.0,0.011321629130225308,2237425.469128032,520.3592730719794
4500.0,0.01081844338789065,2341499.892969074,520.4012010873982
4700.0,0.01035807900892265,2445585.9495629915,520.4914785857219
4900.0,0.009935289449987022,2549696.484403363,520.6734404202318
5100.0,0.00954564861953677,2653855.325731084,521.0194144091022
5300.0,0.009185394545917049,2758104.250167004,521.6440452032094
5500.0,0.008851306532989085,2862512.943812368,522.7209426172963
5700.0,0.008540607452071691,2967192.6272139223,524.5025679490203
5900.0,0.008250885095897031,3072313.970991976,527.3430315779312
6100.0,0.007980028135150837,3178129.839845095,531.7232531053305
6300.0,0.007726173380445087,3285003.2722341083,538.2777534935333
6500.0,0.007487661900466284,3393440.941242508,547.8222216708854
6700.0,0.007263002173483067,3504132.1609024624,561.3809321922704
6900.0,0.007050838918075285,3617993.3141194163,580.2130843938014
7100.0,0.00684992660446228,3736217.394659983,605.8371788972768
7300.0,0.00665910692198918,3860328.185678327,640.052630721142
7500.0,0.006477289694280174,3992238.44694844,684.9579211012402
7700.0,0.006303436908140809,4134311.354118823,742.9646886223205
7900.0,0.006136549667622278,4289424.322397368,816.8072239736467
8100.0,0.005975658009064569,4461034.243708282,909.5468212560727
8300.0,0.005819813621377396,4653243.050899797,1024.5702979557263
8500.0,0.005668085610135609,4870862.362890572,1165.581651520515
8700.0,0.005519559522983135,5119475.711508003,1336.5851732740923
8900.0,0.005373339912919282,5405496.432200209,1541.8572595884814
9100.0,0.005228556747519106,5736218.615343396,1785.902482215576
9300.0,0.005084375964843373,6119857.42508644,2073.3870136796495
9500.0,0.004940014416100768,6565573.4208152555,2409.03905404747
9700.0,0.004794759303201865,7083473.046705428,2797.5013253935404
9900.0,0.004647991995871932,7684573.950972672,3243.11500150827
10100.0,0.00449921577675008,8380719.047308736,3749.607996091798
10300.0,0.004348086594937015,9184417.149409391,4319.654421745115
10500.0,0.004194445297636219,10108580.816006782,4954.2685669754355
10700.0,0.00403834906186838,11166124.576199565,5652.000162823726
10900.0,0.0038800989010882325,12369380.881136272,6407.914884367455
11100.0,0.003720259263283321,13729290.529946547,7212.384549197378
11300.0,0.0035596650303012446,15254334.700815223,8049.786034309361
11500.0,0.0033994109283605584,16949204.94367029,8897.323082191971
11700.0,0.0032408188136666557,18813263.933692012,9724.332550764066
11900.0,0.003085379891426798,20838937.963975918,10492.577405777276
12100.0,0.0029346719550225075,23010294.896002922,11158.080739761685
12300.0,0.0027902561683678497,25302170.25988059,11674.901889286433
12500.0,0.002653563145265146,27680255.651717495,12000.801016635625
12700.0,0.0025257827601060526,30102490.66653484,12104.008824509037
12900.0,0.0024077743980010892,32521859.18152111,11969.556403460876
13100.0,0.0023000125807839315,34890313.22791919,11603.254085717314
13300.0,0.0022025766926609502,37163160.815808035,11031.814088187348
13500.0,0.0021151843881227826,39303038.86319413,10298.787095818985
13700.0,0.0020372592329339963,41282675.65413563,9457.421231789254
13900.0,0.001968017323237988,43086007.35590983,8562.521847009548
14100.0,0.0019065566396087882,44707684.39293945,7663.438512886576
14300.0,0.0018519361547540724,46151382.76106446,6799.542709670513
14500.0,0.0018032371698852297,47427501.476807654,5998.503186738026
14700.0,0.0017596047631221335,48550784.03575967,5276.835153071955
14900.0,0.001720271152124804,49538235.538036436,4641.83091932008
